Round_Number,Date,Stadium,Home_Team,Away_Team,Group,Result
1,14/06/2018 18:00,Luzhniki Stadium Moscow,Russia,Saudi Arabia,Group A,May-00
1,15/06/2018 15:00,Ekaterinburg Stadium,Egypt,Uruguay,Group A,0 - 1
1,15/06/2018 18:00,Saint Petersburg Stadium,Morocco,Iran,Group B,0 - 1
1,15/06/2018 21:00,Fisht Stadium Sochi,Portugal,Spain,Group B,3-Mar
1,16/06/2018 13:00,Kazan Arena,France,Australia,Group C,1-Feb
1,16/06/2018 16:00,Otkrytiye Arena Moscow,Argentina,Iceland,Group D,1-Jan
1,16/06/2018 19:00,Saransk Stadium,Peru,Denmark,Group C,0 - 1
1,16/06/2018 22:00,Kaliningrad Stadium,Croatia,Nigeria,Group D,Feb-00
1,17/06/2018 15:00,Samara Stadium,Costa Rica,Serbia,Group E,0 - 1
1,17/06/2018 18:00,Luzhniki Stadium Moscow,Germany,Mexico,Group F,0 - 1
1,17/06/2018 21:00,Rostov-on-Don Stadium,Brazil,Switzerland,Group E,1-Jan
1,18/06/2018 15:00,Nizhny Novgorod Stadium,Sweden,Korea Republic,Group F,Jan-00
1,18/06/2018 18:00,Fisht Stadium Sochi,Belgium,Panama,Group G,Mar-00
1,18/06/2018 21:00,Volgograd Stadium,Tunisia,England,Group G,2-Jan
1,19/06/2018 15:00,Saransk Stadium,Colombia,Japan,Group H,2-Jan
1,19/06/2018 18:00,Otkrytiye Arena Moscow,Poland,Senegal,Group H,2-Jan
2,19/06/2018 21:00,Saint Petersburg Stadium,Russia,Egypt,Group A,1-Mar
2,20/06/2018 15:00,Luzhniki Stadium Moscow,Portugal,Morocco,Group B,Jan-00
2,20/06/2018 18:00,Rostov-on-Don Stadium,Uruguay,Saudi Arabia,Group A,Jan-00
2,20/06/2018 21:00,Kazan Arena,Iran,Spain,Group B,0 - 1
2,21/06/2018 15:00,Samara Stadium,Denmark,Australia,Group C,1-Jan
2,21/06/2018 18:00,Ekaterinburg Stadium,France,Peru,Group C,Jan-00
2,21/06/2018 21:00,Nizhny Novgorod Stadium,Argentina,Croatia,Group D,0 - 3
